op,op_type,source_path,load_time_deps,runtime_deps,dependency_groups,notes
video_tagging_from_audio_mapper,mapper,data_juicer/ops/mapper/video_tagging_from_audio_mapper.py,numpy,torchaudio,audio; core,
video_tagging_from_frames_mapper,mapper,data_juicer/ops/mapper/video_tagging_from_frames_mapper.py,numpy; pydantic,ram @ git+https://github.com/datajuicer/recognize-anything.git,core; undeclared_or_transitive,
video_undistort_mapper,mapper,data_juicer/ops/mapper/video_undistort_mapper.py,numpy,ffmpeg-python; opencv-contrib-python,audio; core; vision,
video_whole_body_pose_estimation_mapper,mapper,data_juicer/ops/mapper/video_whole_body_pose_estimation_mapper.py,matplotlib; pydantic,opencv-contrib-python,core; vision,
whitespace_normalization_mapper,mapper,data_juicer/ops/mapper/whitespace_normalization_mapper.py,,,,
llm_ray_vllm_engine_pipeline,pipeline,data_juicer/ops/pipeline/llm_inference_with_ray_vllm_pipeline.py,,torch; vllm,generic,
vlm_ray_vllm_engine_pipeline,pipeline,data_juicer/ops/pipeline/vlm_inference_with_ray_vllm_pipeline.py,,torch; vllm,generic,
frequency_specified_field_selector,selector,data_juicer/ops/selector/frequency_specified_field_selector.py,pydantic; typing-extensions,,core,
random_selector,selector,data_juicer/ops/selector/random_selector.py,pydantic; typing-extensions,,core,
range_specified_field_selector,selector,data_juicer/ops/selector/range_specified_field_selector.py,pydantic; typing-extensions,,core,
tags_specified_field_selector,selector,data_juicer/ops/selector/tags_specified_field_selector.py,,,,
topk_specified_field_selector,selector,data_juicer/ops/selector/topk_specified_field_selector.py,pydantic; typing-extensions,,core,
